Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
944	0.822	2.72651E+17
945	0.82425	2.73043E+17
946	0.82975	2.73438E+17
947	0.82875	2.73833E+17
948	0.830875	2.74229E+17
949	0.83225	2.74626E+17
950	0.828375	2.75022E+17
951	0.821625	2.75415E+17
952	0.823125	2.7581E+17
953	0.82025	2.76203E+17
954	0.80775	2.76591E+17
955	0.7785	2.76965E+17
956	0.798375	2.77349E+17
957	0.806125	2.77737E+17
958	0.810875	2.78128E+17
959	0.813375	2.7852E+17
960	0.806375	2.78909E+17
961	0.801	2.79297E+17
962	0.80125	2.79685E+17
963	0.79725	2.80071E+17
964	0.79025	2.80454E+17
965	0.79375	2.80839E+17
966	0.788375	2.81223E+17
967	0.792625	2.81608E+17
968	0.786625	2.81991E+17
969	0.788	2.82375E+17
970	0.7895	2.82761E+17
971	0.783875	2.83144E+17
972	0.786375	2.83528E+17
973	0.780375	2.8391E+17
974	0.771	2.84288E+17
975	0.7735	2.84667E+17
976	0.778875	2.8505E+17
977	0.773875	2.8543E+17
978	0.775875	2.85812E+17
979	0.769375	2.86191E+17
980	0.77375	2.86572E+17
981	0.774	2.86954E+17
982	0.77775	2.87339E+17
983	0.77475	2.87722E+17
984	0.77	2.88103E+17
985	0.770125	2.88485E+17
986	0.766625	2.88865E+17
987	0.76575	2.89245E+17
988	0.763125	2.89625E+17
989	0.756375	2.90001E+17
990	0.757375	2.90378E+17
991	0.76075	2.90757E+17
992	0.7575	2.91135E+17
993	0.7565	2.91513E+17
994	0.758	2.91892E+17
995	0.7545	2.9227E+17
996	0.751875	2.92647E+17
997	0.74425	2.9302E+17
998	0.742875	2.93393E+17
999	0.74225	2.93766E+17
1000	0.743375	2.9414E+17
1001	0.7465	2.94516E+17
1002	0.745875	2.94892E+17
1003	0.73825	2.95265E+17
1004	0.726	2.95631E+17
1005	0.694125	2.95982E+17
1006	0.715375	2.96344E+17
1007	0.729625	2.96714E+17
1008	0.73225	2.97085E+17
1009	0.72975	2.97456E+17
1010	0.730125	2.97827E+17
1011	0.7265	2.98196E+17
1012	0.7245	2.98565E+17
1013	0.721	2.98933E+17
1014	0.721125	2.99301E+17
1015	0.712875	2.99665E+17
1016	0.71275	3.00029E+17
1017	0.709	3.00392E+17
1018	0.712375	3.00757E+17
1019	0.699125	3.01115E+17
1020	0.700625	3.01474E+17
1021	0.7015	3.01835E+17
1022	0.695	3.02192E+17
1023	0.6985	3.02552E+17
1024	0.7005	3.02913E+17
1025	0.69925	3.03273E+17
1026	0.698625	3.03634E+17
1027	0.6965	3.03994E+17
1028	0.696	3.04354E+17
1029	0.691125	3.04711E+17
1030	0.6915	3.0507E+17
1031	0.69025	3.05428E+17
1032	0.6885	3.05785E+17
1033	0.68	3.06139E+17
1034	0.68175	3.06493E+17
1035	0.68375	3.06849E+17
1036	0.683125	3.07205E+17
1037	0.6775	3.07559E+17
1038	0.675	3.07911E+17
1039	0.67775	3.08266E+17
1040	0.67475	3.08619E+17
1041	0.674875	3.08972E+17
1042	0.67425	3.09326E+17
1043	0.670125	3.09677E+17
1044	0.671125	3.1003E+17
1045	0.666375	3.1038E+17
1046	0.6545	3.10724E+17
1047	0.661375	3.11073E+17
1048	0.666875	3.11424E+17
1049	0.664875	3.11775E+17
1050	0.661625	3.12125E+17
1051	0.661375	3.12475E+17
1052	0.658375	3.12823E+17
1053	0.656875	3.13171E+17
1054	0.655625	3.13519E+17
1055	0.657375	3.13868E+17
1056	0.656125	3.14216E+17
1057	0.654375	3.14564E+17
1058	0.647375	3.14909E+17
1059	0.634625	3.15247E+17
1060	0.644	3.1559E+17
1061	0.637375	3.1593E+17
1062	0.644125	3.16275E+17
1063	0.639375	3.16617E+17
1064	0.64475	3.16962E+17
1065	0.643375	3.17306E+17
1066	0.63325	3.17646E+17
1067	0.634625	3.17987E+17
1068	0.6315	3.18326E+17
1069	0.608	3.18653E+17
1070	0.620125	3.18987E+17
1071	0.627625	3.19325E+17
1072	0.629	3.19664E+17
1073	0.62125	3.2E+17
1074	0.62775	3.20339E+17
1075	0.6205	3.20674E+17
1076	0.624	3.21012E+17
1077	0.62425	3.2135E+17
1078	0.62325	3.21688E+17
1079	0.615	3.22022E+17
1080	0.619625	3.22359E+17
1081	0.608375	3.2269E+17
1082	0.6035	3.23018E+17
1083	0.60875	3.2335E+17
1084	0.613125	3.23684E+17
1085	0.61275	3.24019E+17
1086	0.612375	3.24353E+17
1087	0.596125	3.24679E+17
1088	0.60525	3.25011E+17
1089	0.608125	3.25344E+17
1090	0.605125	3.25676E+17
1091	0.606125	3.26008E+17
1092	0.59775	3.26337E+17
1093	0.58875	3.26661E+17
1094	0.567625	3.26973E+17
1095	0.580625	3.27293E+17
1096	0.58625	3.27616E+17
1097	0.589875	3.27942E+17
1098	0.586875	3.28266E+17
1099	0.584875	3.28589E+17
1100	0.597625	3.2892E+17
1101	0.597	3.29251E+17
1102	0.58575	3.29575E+17
1103	0.593125	3.29905E+17
1104	0.593	3.30234E+17
1105	0.591125	3.30563E+17
1106	0.589625	3.30891E+17
1107	0.586625	3.31217E+17
1108	0.58675	3.31544E+17
1109	0.58625	3.31872E+17
1110	0.586375	3.32199E+17
1111	0.5835	3.32525E+17
1112	0.582375	3.32851E+17
1113	0.579375	3.33175E+17
1114	0.583	3.33502E+17
1115	0.581375	3.33828E+17
1116	0.576875	3.34152E+17
1117	0.580625	3.34478E+17
1118	0.573375	3.34801E+17
1119	0.571625	3.35123E+17
1120	0.56975	3.35444E+17
1121	0.572	3.35766E+17
1122	0.5745	3.36091E+17
1123	0.574	3.36415E+17
1124	0.57275	3.36739E+17
1125	0.56825	3.3706E+17
1126	0.55625	3.37376E+17
1127	0.561625	3.37694E+17
1128	0.56725	3.38016E+17
1129	0.5675	3.38338E+17
1130	0.565	3.38659E+17
1131	0.56775	3.38983E+17
1132	0.56875	3.39306E+17
1133	0.563125	3.39627E+17
1134	0.562875	3.39949E+17
1135	0.56325	3.4027E+17
1136	0.563125	3.40592E+17
1137	0.552625	3.40908E+17
1138	0.546125	3.41221E+17
1139	0.55225	3.41537E+17
1140	0.554	3.41855E+17
1141	0.546125	3.42168E+17
1142	0.552875	3.42486E+17
1143	0.55	3.42802E+17
1144	0.54625	3.43117E+17
1145	0.549875	3.43434E+17
1146	0.5535	3.43753E+17
1147	0.5535	3.44072E+17
1148	0.55025	3.4439E+17
1149	0.548	3.44707E+17
1150	0.546125	3.45023E+17
1151	0.54475	3.45338E+17
1152	0.5425	3.45653E+17
1153	0.543375	3.45968E+17
1154	0.5465	3.46285E+17
1155	0.546125	3.46602E+17
1156	0.541375	3.46917E+17
1157	0.543375	3.47233E+17
1158	0.542125	3.47549E+17
1159	0.53525	3.47861E+17
1160	0.5285	3.4817E+17
1161	0.522	3.48475E+17
1162	0.53175	3.48786E+17
1163	0.53525	3.49099E+17
1164	0.52925	3.49409E+17
1165	0.532375	3.49721E+17
1166	0.524625	3.50029E+17
1167	0.5295	3.50339E+17
1168	0.53125	3.50652E+17
1169	0.519875	3.50957E+17
1170	0.527625	3.51268E+17
