Wvlgth Direct_normal_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Zonal_ground_reflectance
3.5150e+02 8.9350e-01 1.8655e+00 1.0118e+00 8.9350e-01 7.4760e-02 6.5750e-02
3.5200e+02 8.6910e-01 1.8509e+00 9.7600e-01 8.6910e-01 7.2440e-02 6.6190e-02
3.5250e+02 8.1850e-01 1.8663e+00 9.8375e-01 8.1850e-01 6.8130e-02 6.6680e-02
3.5300e+02 8.6690e-01 1.8745e+00 9.9150e-01 8.6690e-01 7.2230e-02 6.7170e-02
3.5350e+02 9.5070e-01 1.8592e+00 1.0558e+00 9.5070e-01 7.9300e-02 6.7660e-02
3.5400e+02 1.0030e+00 1.8811e+00 1.1200e+00 1.0030e+00 8.3740e-02 6.8150e-02
3.5450e+02 1.0110e+00 1.8213e+00 1.1250e+00 1.0110e+00 8.4680e-02 6.8620e-02
3.5500e+02 1.0080e+00 1.7832e+00 1.1300e+00 1.0080e+00 8.4800e-02 6.9100e-02
3.5550e+02 9.6980e-01 1.8473e+00 1.0799e+00 9.6980e-01 8.1830e-02 6.9570e-02
3.5600e+02 9.0710e-01 1.8417e+00 1.0297e+00 9.0710e-01 7.6740e-02 7.0040e-02
3.5650e+02 8.4860e-01 1.8412e+00 9.5150e-01 8.4860e-01 7.1980e-02 7.0510e-02
3.5700e+02 7.4450e-01 1.8001e+00 8.7325e-01 7.4450e-01 6.3310e-02 7.0980e-02
3.5750e+02 7.5140e-01 1.8538e+00 8.3150e-01 7.5140e-01 6.4030e-02 7.1450e-02
3.5800e+02 6.9740e-01 1.8207e+00 7.8975e-01 6.9740e-01 5.9560e-02 7.1920e-02
3.5850e+02 6.4590e-01 1.8481e+00 8.2950e-01 6.4590e-01 5.5290e-02 7.2400e-02
3.5900e+02 7.5780e-01 1.8693e+00 8.6925e-01 7.5780e-01 6.5060e-02 7.2870e-02
3.5950e+02 9.1090e-01 1.8293e+00 9.6463e-01 9.1090e-01 7.8540e-02 7.3340e-02
3.6000e+02 9.6110e-01 1.8306e+00 1.0600e+00 9.6110e-01 8.3010e-02 7.3810e-02
3.6050e+02 9.0590e-01 1.8219e+00 1.0090e+00 9.0590e-01 7.8380e-02 7.4310e-02
3.6100e+02 8.3130e-01 1.8353e+00 9.5800e-01 8.3130e-01 7.2090e-02 7.4800e-02
3.6150e+02 8.1150e-01 1.8573e+00 9.6450e-01 8.1150e-01 7.0600e-02 7.5290e-02
3.6200e+02 8.4800e-01 1.8367e+00 9.7100e-01 8.4800e-01 7.4020e-02 7.5790e-02
3.6250e+02 9.2600e-01 1.8240e+00 1.0143e+00 9.2600e-01 8.1080e-02 7.6260e-02
3.6300e+02 9.4980e-01 1.7127e+00 1.0575e+00 9.4980e-01 8.3410e-02 7.6730e-02
3.6350e+02 9.2120e-01 1.7548e+00 1.0588e+00 9.2120e-01 8.1140e-02 7.7210e-02
3.6400e+02 9.5150e-01 1.7917e+00 1.0600e+00 9.5150e-01 8.4030e-02 7.7680e-02
3.6450e+02 9.4030e-01 1.7878e+00 1.0875e+00 9.4030e-01 8.3240e-02 7.8150e-02
3.6500e+02 9.7400e-01 1.7990e+00 1.1150e+00 9.7400e-01 8.6430e-02 7.8620e-02
3.6550e+02 1.0690e+00 1.7767e+00 1.1900e+00 1.0690e+00 9.5100e-02 7.9090e-02
3.6600e+02 1.1430e+00 1.7644e+00 1.2650e+00 1.1430e+00 1.0190e-01 7.9570e-02
3.6650e+02 1.1420e+00 1.7320e+00 1.2612e+00 1.1420e+00 1.0200e-01 8.0060e-02
3.6700e+02 1.1180e+00 1.7620e+00 1.2575e+00 1.1180e+00 1.0010e-01 8.0550e-02
3.6750e+02 1.0940e+00 1.7670e+00 1.2163e+00 1.0940e+00 9.8180e-02 8.1050e-02
3.6800e+02 1.0280e+00 1.7568e+00 1.1750e+00 1.0280e+00 9.2420e-02 8.1540e-02
3.6850e+02 1.0180e+00 1.7306e+00 1.1887e+00 1.0180e+00 9.1800e-02 8.2010e-02
3.6900e+02 1.0620e+00 1.7154e+00 1.2025e+00 1.0620e+00 9.5940e-02 8.2490e-02
3.6950e+02 1.1380e+00 1.7132e+00 1.2300e+00 1.1380e+00 1.0300e-01 8.2960e-02
3.7000e+02 1.1510e+00 1.6883e+00 1.2575e+00 1.1510e+00 1.0440e-01 8.3430e-02
3.7050e+02 1.0380e+00 1.6570e+00 1.2225e+00 1.0380e+00 9.4390e-02 8.3900e-02
3.7100e+02 1.0520e+00 1.6990e+00 1.1875e+00 1.0520e+00 9.5860e-02 8.4370e-02
3.7150e+02 1.0900e+00 1.7118e+00 1.1675e+00 1.0900e+00 9.9560e-02 8.4850e-02
3.7200e+02 1.0190e+00 1.6846e+00 1.1475e+00 1.0190e+00 9.3160e-02 8.5320e-02
3.7250e+02 9.6820e-01 1.6683e+00 1.0874e+00 9.6820e-01 8.8720e-02 8.5810e-02
3.7300e+02 9.3020e-01 1.6457e+00 1.0272e+00 9.3020e-01 8.5440e-02 8.6310e-02
3.7350e+02 8.3660e-01 1.6878e+00 9.8013e-01 8.3660e-01 7.7000e-02 8.6800e-02
3.7400e+02 8.3260e-01 1.6793e+00 9.3300e-01 8.3260e-01 7.6780e-02 8.7300e-02
3.7450e+02 8.2450e-01 1.6366e+00 9.6463e-01 8.2450e-01 7.6180e-02 8.7770e-02
3.7500e+02 8.7790e-01 1.6537e+00 9.9625e-01 8.7790e-01 8.1250e-02 8.8240e-02
3.7550e+02 9.6880e-01 1.6419e+00 1.0519e+00 9.6880e-01 8.9790e-02 8.8710e-02
3.7600e+02 1.0010e+00 1.6530e+00 1.1075e+00 1.0010e+00 9.2930e-02 8.9180e-02
3.7650e+02 9.8320e-01 1.6512e+00 1.1500e+00 9.8320e-01 9.1380e-02 8.9650e-02
3.7700e+02 1.0520e+00 1.6117e+00 1.1925e+00 1.0520e+00 9.7990e-02 9.0130e-02
3.7750e+02 1.1720e+00 1.6190e+00 1.2850e+00 1.1720e+00 1.0930e-01 9.0600e-02
3.7800e+02 1.2600e+00 1.6178e+00 1.3775e+00 1.2600e+00 1.1760e-01 9.1070e-02
3.7850e+02 1.2260e+00 1.5996e+00 1.3062e+00 1.2260e+00 1.1440e-01 9.1130e-02
3.7900e+02 1.0910e+00 1.5910e+00 1.2350e+00 1.0910e+00 1.0180e-01 9.1180e-02
3.7950e+02 9.7660e-01 1.5430e+00 1.1963e+00 9.7660e-01 9.1070e-02 9.1240e-02
3.8000e+02 1.0250e+00 1.5944e+00 1.1575e+00 1.0250e+00 9.5510e-02 9.1290e-02
