Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.1039/c8tc02923g,MAPbI,MAPbI3,22.7,1.048,22.79,1.6
10.1039/c8tc02923g,MAPbI,MAPbI3,22.7,1.06,23.73,1.6
10.1016/j.chempr.2018.03.005,MAPbI,MAPbI3,22.7,1.01,17.06,1.6
10.1016/j.chempr.2018.03.005,MAPbI,MAPbI3,22.7,1.03,22.62,1.6
10.1016/j.chempr.2018.03.005,MAPbI,MAPbI3,22.7,1.13,23.0,1.6
10.1002/aenm.201703054,MAPbI,MAPbI3,22.7,1.05,23.22,1.6
10.1002/adfm.201800475,MAPbI,MAPbI3,22.67,1.08,22.7,1.6
10.1039/c7nr05416e,MAPbI,MAPbI3,22.66,1.15,22.71,1.6
10.1002/adma.201803244,MAPbI,MAPbI3,22.65,1.114,23.52,
10.1021/acssuschemeng.9b02044,MAPbI,MAPbI3,22.65,1.09,22.81,1.6
10.1002/aenm.201803766,MAPbI,MAPbI3,22.62,1.0659999999999998,22.5,1.6
10.1002/adma.201706975,MAPbI,MAPbI3,22.61,1.03,22.72,1.6
10.1039/c8ta00267c,MAPbI,MAPbI3,22.6,1.11,22.38,1.6
10.1039/c9ta09336b,MAPbI,MAPbI3,22.6,1.1,22.85,1.6
10.1016/j.nanoen.2018.05.035,MAPbI,MAPbI3,22.6,1.07,22.42,1.6
10.1016/j.nanoen.2017.08.047,MAPbI,MAPbI3,22.6,1.01,23.02,1.52
10.1039/c6ta00976j,MAPbI,MAPbI3,22.6,0.96,22.73,1.6
10.1039/c6ta00976j,MAPbI,MAPbI3,22.6,0.99,23.22,1.6
10.1016/j.jpowsour.2018.12.066,MAPbI,MAPbI3,22.6,1.04,22.85,1.6
10.1021/acsami.9b01587,MAPbI,MAPbI3,22.6,1.09,23.64,1.6
10.1016/j.nanoen.2018.08.072,MAPbI,MAPbI3,22.6,1.11,23.0,1.6
10.1016/j.nanoen.2020.104984,MAPbI,MAPbI3,22.6,0.898,24.5,
10.1039/c8mh00511g,MAPbI,MAPbI3,22.6,1.11,22.8,1.6
10.1016/j.jpowsour.2019.226819,MAPbI,MAPbI3,22.6,1.1,23.3,1.6
